@relation 'dataset-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DC:\\Users\\usuario\\Desktop\\Ingenieria Informatica\\Zuarto\\Segundo Semestre\\Minería de Datos\\Practica\\WekaProgramming-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D \"C:\\\\Users\\\\usuario\\\\Desktop\\\\Ingenieria Informatica\\\\Zuarto\\\\Segundo Semestre\\\\Minería de Datos\\\\Practica\\\\WekaProgramming\"'

@attribute filename string
@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {plane,car,train}

@data
Asi/plane/plane1.jpg,54,16,26,19,13,27,18,9,16,7,24,17,9,17,13,13,14,16,22,14,10,29,16,17,16,15,17,32,16,15,15,16,15,plane
Asi/plane/plane10.jpg,19,16,15,17,16,16,15,15,15,15,16,15,15,15,15,16,16,16,17,15,16,50,16,16,20,16,18,16,15,16,13,16,14,plane
Asi/plane/plane11.jpg,51,15,13,17,15,17,15,15,16,13,14,18,14,17,16,16,16,15,17,15,18,48,17,24,19,16,17,14,14,8,13,15,15,plane
Asi/plane/plane12.jpg,46,9,8,20,20,18,15,14,16,14,15,12,13,15,15,16,16,16,18,19,16,49,19,24,17,15,18,19,14,8,15,16,14,plane
Asi/plane/plane13.jpg,23,10,27,10,16,17,14,13,19,20,14,12,15,17,13,19,17,17,16,17,14,35,17,21,15,15,17,29,15,11,16,16,15,plane
Asi/plane/plane14.jpg,53,15,11,28,13,19,14,17,14,21,7,19,12,16,15,14,13,18,12,18,12,32,15,16,15,16,16,30,16,15,16,15,16,plane
Asi/plane/plane15.jpg,35,17,14,18,17,13,15,14,14,15,16,15,16,18,14,15,17,15,18,18,18,41,19,23,23,18,15,24,12,10,11,14,16,plane
Asi/plane/plane16.jpg,48,12,10,21,13,17,15,16,15,13,12,13,14,16,15,16,16,16,17,16,18,33,21,21,16,18,16,32,11,12,16,13,15,plane
Asi/plane/plane17.jpg,42,11,22,25,14,17,16,13,13,12,10,13,14,15,18,16,15,16,20,19,15,39,15,16,14,16,16,25,15,16,17,15,16,plane
Asi/plane/plane18.jpg,15,14,15,12,15,12,17,14,16,14,15,15,18,16,17,15,16,15,18,16,16,53,18,16,23,15,22,10,13,14,8,16,10,plane
Asi/plane/plane19.jpg,44,16,18,24,17,20,14,12,16,10,16,18,11,14,18,15,18,18,18,12,18,35,16,16,16,16,15,29,15,15,15,15,16,plane
Asi/plane/plane2.jpg,38,16,16,19,16,18,16,14,16,11,14,15,13,15,15,15,16,15,19,14,18,46,16,19,19,15,16,19,15,13,13,16,15,plane
Asi/plane/plane20.jpg,52,19,22,24,12,17,12,12,12,13,15,12,14,15,17,14,17,19,20,17,17,34,17,16,17,18,17,30,15,15,15,14,15,plane
Asi/plane/plane3.jpg,55,24,20,17,17,18,18,13,12,16,16,14,14,17,16,14,17,18,16,18,16,32,16,16,16,16,16,32,16,16,16,16,16,plane
Asi/plane/plane4.jpg,40,18,24,24,11,22,15,11,14,12,17,22,9,17,13,17,17,15,20,16,16,34,16,18,17,16,16,30,15,14,15,15,15,plane
Asi/plane/plane5.jpg,27,16,17,13,17,15,17,15,18,14,23,20,15,17,15,16,15,15,18,14,19,26,16,14,14,17,15,37,15,17,16,14,16,plane
Asi/plane/plane6.jpg,32,14,15,20,16,18,16,14,17,13,14,14,13,15,15,16,15,15,18,14,18,54,16,17,21,15,17,11,15,14,10,16,14,plane
Asi/plane/plane7.jpg,42,14,26,14,17,13,16,15,17,12,17,12,17,16,15,15,16,15,15,16,19,35,17,19,13,15,16,27,14,13,18,16,15,plane
Asi/plane/plane8.jpg,38,17,24,19,16,16,14,14,12,10,18,15,15,16,16,14,16,17,18,18,14,25,15,23,13,15,16,34,15,10,18,16,15,plane
Asi/plane/plane9.jpg,45,13,24,18,15,20,15,14,15,7,12,18,11,16,16,16,16,15,18,15,20,42,16,22,19,15,15,19,16,7,12,16,15,plane
Asi/car/car1.jpg,26,12,15,23,17,19,16,13,18,11,20,14,15,14,16,16,15,17,18,18,14,25,17,16,14,15,14,34,15,16,17,16,17,car
Asi/car/car10.jpg,25,8,16,8,24,16,19,15,14,7,15,17,21,17,13,18,14,18,15,13,17,31,16,16,15,14,16,30,16,16,16,18,16,car
Asi/car/car11.jpg,14,18,9,12,16,16,14,14,13,14,20,18,18,15,17,15,15,16,17,17,15,21,14,11,19,17,16,43,17,11,5,12,10,car
